match_id,season,date,venue,batting_team,bowling_team,toss_winner,toss_decision,winner,over,batter,non_striker,bowler,runs_batter,runs_extras,runs_total,extras_type,wicket_type,player_dismissed
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,0,YH Bhatia,HK Matthews,A Gardner,0,0,0,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,0,YH Bhatia,HK Matthews,A Gardner,0,0,0,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,0,YH Bhatia,HK Matthews,A Gardner,0,0,0,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,0,YH Bhatia,HK Matthews,A Gardner,0,0,0,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,0,YH Bhatia,HK Matthews,A Gardner,1,0,1,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,0,HK Matthews,YH Bhatia,A Gardner,1,0,1,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,1,HK Matthews,YH Bhatia,M Joshi,6,0,6,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,1,HK Matthews,YH Bhatia,M Joshi,4,0,4,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,1,HK Matthews,YH Bhatia,M Joshi,0,0,0,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,1,HK Matthews,YH Bhatia,M Joshi,1,0,1,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,1,YH Bhatia,HK Matthews,M Joshi,0,1,1,wides,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,1,YH Bhatia,HK Matthews,M Joshi,0,0,0,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,1,YH Bhatia,HK Matthews,M Joshi,0,0,0,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,2,HK Matthews,YH Bhatia,TP Kanwar,0,0,0,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,2,HK Matthews,YH Bhatia,TP Kanwar,1,0,1,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,2,YH Bhatia,HK Matthews,TP Kanwar,0,0,0,,caught,YH Bhatia
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,2,NR Sciver-Brunt,HK Matthews,TP Kanwar,1,0,1,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,2,HK Matthews,NR Sciver-Brunt,TP Kanwar,1,0,1,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,2,NR Sciver-Brunt,HK Matthews,TP Kanwar,0,0,0,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,3,HK Matthews,NR Sciver-Brunt,M Joshi,0,0,0,,,
1358929,2022/23,2023-03-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Gujarat Giants,Gujarat Giants,field,Mumbai Indians,3,HK Matthews,NR Sciver-Brunt,M Joshi,1,0,1,,,
